,Player,Overs,Maidens,Runs,Wickets,Econ,Dots,4s,6s,Wd,Nb,Fantasy_Points,Teams,Opponent_Team,Match_Location,Toss_Winner,Choose_to
7209,Kuldeep Yadav,3.0,0,18,0,6.0,5,0,0,1,0,0,Kolkata Knight Riders,Sunrisers Hyderabad,"Sheikh Zayed Stadium, Abu Dhabi",Sunrisers Hyderabad,field
7210,Deepak Chahar,3.0,0,17,0,5.67,9,2,0,0,0,0,Chennai Super Kings,Punjab Kings,Dubai International Cricket Stadium,Punjab Kings,bat
7211,Sam Curran,3.0,0,31,0,10.33,3,3,1,0,0,0,Chennai Super Kings,Punjab Kings,Dubai International Cricket Stadium,Punjab Kings,bat
7212,Shardul Thakur,4.0,0,39,2,9.75,8,5,1,1,0,50,Chennai Super Kings,Punjab Kings,Dubai International Cricket Stadium,Punjab Kings,bat
7213,Dwayne Bravo,4.0,0,38,0,9.5,7,3,1,2,0,0,Chennai Super Kings,Punjab Kings,Dubai International Cricket Stadium,Punjab Kings,bat
7214,Ravindra Jadeja,4.0,0,30,1,7.5,7,1,1,0,0,25,Chennai Super Kings,Punjab Kings,Dubai International Cricket Stadium,Punjab Kings,bat
7215,Piyush Chawla,2.0,0,22,1,11.0,2,0,2,0,0,25,Chennai Super Kings,Punjab Kings,Dubai International Cricket Stadium,Punjab Kings,bat
7216,Sheldon Cottrell,3.0,0,30,0,10.0,5,3,1,2,0,0,Punjab Kings,Chennai Super Kings,Dubai International Cricket Stadium,Punjab Kings,bat
7217,Mohammed Shami,3.4,0,35,0,9.55,7,2,1,2,0,0,Punjab Kings,Chennai Super Kings,Dubai International Cricket Stadium,Punjab Kings,bat
7218,Harpreet Brar,4.0,0,41,0,10.25,6,5,1,1,0,0,Punjab Kings,Chennai Super Kings,Dubai International Cricket Stadium,Punjab Kings,bat
7219,Chris Jordan,3.0,0,42,0,14.0,2,8,0,0,0,-6,Punjab Kings,Chennai Super Kings,Dubai International Cricket Stadium,Punjab Kings,bat
7220,Ravi Bishnoi,4.0,0,33,0,8.25,10,4,1,2,0,0,Punjab Kings,Chennai Super Kings,Dubai International Cricket Stadium,Punjab Kings,bat
7221,Isuru Udana,4.0,0,41,2,10.25,8,4,2,1,0,50,Royal Challengers Bangalore,Rajasthan Royals,"Sheikh Zayed Stadium, Abu Dhabi",Rajasthan Royals,bat
7222,Washington Sundar,4.0,0,20,0,5.0,8,1,0,0,0,0,Royal Challengers Bangalore,Rajasthan Royals,"Sheikh Zayed Stadium, Abu Dhabi",Rajasthan Royals,bat
7223,Navdeep Saini,4.0,1,37,1,9.25,10,2,3,0,1,37,Royal Challengers Bangalore,Rajasthan Royals,"Sheikh Zayed Stadium, Abu Dhabi",Rajasthan Royals,bat
7224,Yuzvendra Chahal,4.0,0,24,3,6.0,10,0,2,0,0,79,Royal Challengers Bangalore,Rajasthan Royals,"Sheikh Zayed Stadium, Abu Dhabi",Rajasthan Royals,bat
