,Player,Overs,Maidens,Runs,Wickets,Econ,Dots,4s,6s,Wd,Nb,Fantasy_Points,Teams,Opponent_Team,Match_Location,Toss_Winner,Choose_to
7420,Glenn Maxwell,4.0,0,28,0,7.0,6,1,1,0,0,0,Punjab Kings,Royal Challengers Bangalore,Sharjah Cricket Stadium,Royal Challengers Bangalore,bat
7421,Mohammed Shami,4.0,0,45,2,11.25,6,2,4,0,0,50,Punjab Kings,Royal Challengers Bangalore,Sharjah Cricket Stadium,Royal Challengers Bangalore,bat
7422,Arshdeep Singh,2.0,0,20,1,10.0,3,3,0,1,0,25,Punjab Kings,Royal Challengers Bangalore,Sharjah Cricket Stadium,Royal Challengers Bangalore,bat
7423,Ravi Bishnoi,3.0,0,29,0,9.67,6,1,2,2,0,0,Punjab Kings,Royal Challengers Bangalore,Sharjah Cricket Stadium,Royal Challengers Bangalore,bat
7424,Murugan Ashwin,4.0,0,23,2,5.75,7,1,0,0,0,50,Punjab Kings,Royal Challengers Bangalore,Sharjah Cricket Stadium,Royal Challengers Bangalore,bat
7425,Chris Jordan,3.0,0,20,1,6.67,5,0,1,2,0,25,Punjab Kings,Royal Challengers Bangalore,Sharjah Cricket Stadium,Royal Challengers Bangalore,bat
7426,Chris Morris,4.0,0,22,0,5.5,12,0,1,3,0,0,Royal Challengers Bangalore,Punjab Kings,Sharjah Cricket Stadium,Royal Challengers Bangalore,bat
7427,Navdeep Saini,4.0,0,21,0,5.25,14,2,1,0,0,0,Royal Challengers Bangalore,Punjab Kings,Sharjah Cricket Stadium,Royal Challengers Bangalore,bat
7428,Yuzvendra Chahal,3.0,0,35,1,11.67,8,2,3,1,0,25,Royal Challengers Bangalore,Punjab Kings,Sharjah Cricket Stadium,Royal Challengers Bangalore,bat
7429,Isuru Udana,2.0,0,14,0,7.0,4,0,1,1,0,0,Royal Challengers Bangalore,Punjab Kings,Sharjah Cricket Stadium,Royal Challengers Bangalore,bat
7430,Mohammed Siraj,3.0,0,44,0,14.67,2,2,4,1,0,-6,Royal Challengers Bangalore,Punjab Kings,Sharjah Cricket Stadium,Royal Challengers Bangalore,bat
7431,Washington Sundar,4.0,0,38,0,9.5,6,0,4,0,0,0,Royal Challengers Bangalore,Punjab Kings,Sharjah Cricket Stadium,Royal Challengers Bangalore,bat
7432,Ishant Sharma,3.0,0,26,0,8.67,4,0,1,2,0,0,Delhi Capitals,Sunrisers Hyderabad,"Sheikh Zayed Stadium, Abu Dhabi",Delhi Capitals,field
7433,Kagiso Rabada,4.0,0,21,2,5.25,11,1,0,0,0,50,Delhi Capitals,Sunrisers Hyderabad,"Sheikh Zayed Stadium, Abu Dhabi",Delhi Capitals,field
7434,Anrich Nortje,4.0,0,40,0,10.0,6,4,2,0,0,0,Delhi Capitals,Sunrisers Hyderabad,"Sheikh Zayed Stadium, Abu Dhabi",Delhi Capitals,field
7435,Marcus Stoinis,3.0,0,22,0,7.33,4,2,0,0,0,0,Delhi Capitals,Sunrisers Hyderabad,"Sheikh Zayed Stadium, Abu Dhabi",Delhi Capitals,field
7436,Amit Mishra,4.0,0,35,2,8.75,6,3,1,0,0,50,Delhi Capitals,Sunrisers Hyderabad,"Sheikh Zayed Stadium, Abu Dhabi",Delhi Capitals,field
7437,Axar Patel,2.0,0,14,0,7.0,2,1,0,1,0,0,Delhi Capitals,Sunrisers Hyderabad,"Sheikh Zayed Stadium, Abu Dhabi",Delhi Capitals,field
7438,Bhuvneshwar Kumar,4.0,0,25,2,6.25,13,4,0,1,0,50,Sunrisers Hyderabad,Delhi Capitals,"Sheikh Zayed Stadium, Abu Dhabi",Delhi Capitals,field
7439,Khaleel Ahmed,4.0,0,43,1,10.75,9,2,3,1,0,25,Sunrisers Hyderabad,Delhi Capitals,"Sheikh Zayed Stadium, Abu Dhabi",Delhi Capitals,field
7440,T Natarajan,4.0,0,25,1,6.25,8,2,0,1,0,25,Sunrisers Hyderabad,Delhi Capitals,"Sheikh Zayed Stadium, Abu Dhabi",Delhi Capitals,field
7441,Abhishek Sharma,4.0,0,34,0,8.5,4,0,2,1,0,0,Sunrisers Hyderabad,Delhi Capitals,"Sheikh Zayed Stadium, Abu Dhabi",Delhi Capitals,field
7442,Rashid Khan,4.0,0,14,3,3.5,13,1,0,0,0,85,Sunrisers Hyderabad,Delhi Capitals,"Sheikh Zayed Stadium, Abu Dhabi",Delhi Capitals,field
7443,Jofra Archer,4.0,0,20,1,5.0,11,2,0,0,0,25,Rajasthan Royals,Chennai Super Kings,"Sheikh Zayed Stadium, Abu Dhabi",Chennai Super Kings,bat
7444,Ankit Rajpoot,1.0,0,8,0,8.0,2,1,0,0,0,0,Rajasthan Royals,Chennai Super Kings,"Sheikh Zayed Stadium, Abu Dhabi",Chennai Super Kings,bat
7445,Kartik Tyagi,4.0,0,35,1,8.75,11,7,0,1,0,25,Rajasthan Royals,Chennai Super Kings,"Sheikh Zayed Stadium, Abu Dhabi",Chennai Super Kings,bat
7446,Ben Stokes,3.0,0,27,0,9.0,4,2,1,0,0,0,Rajasthan Royals,Chennai Super Kings,"Sheikh Zayed Stadium, Abu Dhabi",Chennai Super Kings,bat
7447,Shreyas Gopal,4.0,0,14,1,3.5,12,0,0,0,0,31,Rajasthan Royals,Chennai Super Kings,"Sheikh Zayed Stadium, Abu Dhabi",Chennai Super Kings,bat
7448,Rahul Tewatia,4.0,0,18,1,4.5,11,0,0,0,1,31,Rajasthan Royals,Chennai Super Kings,"Sheikh Zayed Stadium, Abu Dhabi",Chennai Super Kings,bat
7449,Deepak Chahar,4.0,1,18,2,4.5,17,2,0,0,0,68,Chennai Super Kings,Rajasthan Royals,"Sheikh Zayed Stadium, Abu Dhabi",Chennai Super Kings,bat
7450,Josh Hazlewood,4.0,0,19,1,4.75,14,2,0,0,0,31,Chennai Super Kings,Rajasthan Royals,"Sheikh Zayed Stadium, Abu Dhabi",Chennai Super Kings,bat
7451,Ravindra Jadeja,1.3,0,11,0,7.33,2,1,0,0,0,0,Chennai Super Kings,Rajasthan Royals,"Sheikh Zayed Stadium, Abu Dhabi",Chennai Super Kings,bat
7452,Shardul Thakur,4.0,0,34,0,8.5,8,3,1,1,0,0,Chennai Super Kings,Rajasthan Royals,"Sheikh Zayed Stadium, Abu Dhabi",Chennai Super Kings,bat
7453,Sam Curran,1.0,0,6,0,6.0,2,0,0,0,0,0,Chennai Super Kings,Rajasthan Royals,"Sheikh Zayed Stadium, Abu Dhabi",Chennai Super Kings,bat
7454,Piyush Chawla,3.0,0,32,0,10.67,5,4,1,0,0,0,Chennai Super Kings,Rajasthan Royals,"Sheikh Zayed Stadium, Abu Dhabi",Chennai Super Kings,bat
7455,Bhuvneshwar Kumar,4.0,0,25,0,6.25,11,3,0,1,0,0,Sunrisers Hyderabad,Royal Challengers Bangalore,Dubai International Cricket Stadium,Sunrisers Hyderabad,field
7456,Sandeep Sharma,4.0,0,36,0,9.0,7,2,2,0,0,0,Sunrisers Hyderabad,Royal Challengers Bangalore,Dubai International Cricket Stadium,Sunrisers Hyderabad,field
7457,T Natarajan,4.0,0,34,1,8.5,6,5,0,0,0,25,Sunrisers Hyderabad,Royal Challengers Bangalore,Dubai International Cricket Stadium,Sunrisers Hyderabad,field
7458,Mitchell Marsh,0.4,0,6,0,9.0,1,1,0,0,0,0,Sunrisers Hyderabad,Royal Challengers Bangalore,Dubai International Cricket Stadium,Sunrisers Hyderabad,field
7459,Vijay Shankar,1.2,0,14,1,10.5,4,0,1,1,2,25,Sunrisers Hyderabad,Royal Challengers Bangalore,Dubai International Cricket Stadium,Sunrisers Hyderabad,field
7460,Rashid Khan,4.0,0,31,0,7.75,4,1,1,0,0,0,Sunrisers Hyderabad,Royal Challengers Bangalore,Dubai International Cricket Stadium,Sunrisers Hyderabad,field
