,Player,Runs,Balls,4s,6s,Fantasy_Points,Teams,Opponent_Team,Toss_Winner,Choose_to,Match_Location,strike_rate
8697,Jasprit Bumrah,0,0,0,0,0,Mumbai Indians,Delhi Capitals,Mumbai Indians,field,"Wankhede Stadium, Mumbai",
8698,KL Rahul,4,4,1,0,5,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,"Sawai Mansingh Stadium, Jaipur",100.0
8699,Chris Gayle,79,47,8,4,95,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,"Sawai Mansingh Stadium, Jaipur",168.09
8700,Mayank Agarwal,22,24,1,2,27,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,"Sawai Mansingh Stadium, Jaipur",91.67
8701,Sarfaraz Khan,46,29,6,1,54,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,"Sawai Mansingh Stadium, Jaipur",158.62
8702,Nicholas Pooran,12,14,1,0,13,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,"Sawai Mansingh Stadium, Jaipur",85.71
8703,Mandeep Singh,5,2,0,0,11,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,"Sawai Mansingh Stadium, Jaipur",250.0
8704,Ajinkya Rahane,27,20,4,0,31,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,"Sawai Mansingh Stadium, Jaipur",135.0
8705,Ajinkya Rahane,27,20,4,0,31,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,"Sawai Mansingh Stadium, Jaipur",135.0
8706,Jos Buttler,69,43,10,2,83,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,"Sawai Mansingh Stadium, Jaipur",160.47
8707,Jos Buttler,69,43,10,2,83,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,"Sawai Mansingh Stadium, Jaipur",160.47
8708,Sanju Samson,30,25,0,1,32,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,"Sawai Mansingh Stadium, Jaipur",120.0
8709,Sanju Samson,30,25,0,1,32,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,"Sawai Mansingh Stadium, Jaipur",120.0
8710,Steven Smith,20,16,1,1,23,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,"Sawai Mansingh Stadium, Jaipur",125.0
8711,Steven Smith,20,16,1,1,23,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,"Sawai Mansingh Stadium, Jaipur",125.0
8712,Ben Stokes,6,2,0,1,14,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,"Sawai Mansingh Stadium, Jaipur",300.0
8713,Ben Stokes,6,2,0,1,14,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,"Sawai Mansingh Stadium, Jaipur",300.0
8714,Rahul Tripathi,1,4,0,0,-5,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,"Sawai Mansingh Stadium, Jaipur",25.0
8715,Rahul Tripathi,1,4,0,0,-5,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,"Sawai Mansingh Stadium, Jaipur",25.0
8716,Krishnappa Gowtham,3,4,0,0,3,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,"Sawai Mansingh Stadium, Jaipur",75.0
8717,Krishnappa Gowtham,3,4,0,0,3,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,"Sawai Mansingh Stadium, Jaipur",75.0
8718,Jofra Archer,2,2,0,0,2,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,"Sawai Mansingh Stadium, Jaipur",100.0
8719,Jofra Archer,2,2,0,0,2,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,"Sawai Mansingh Stadium, Jaipur",100.0
