,Player,Runs,Balls,4s,6s,Fantasy_Points,Teams,Opponent_Team,Toss_Winner,Choose_to,Match_Location,strike_rate
8905,Ravindra Jadeja,1,2,0,0,1,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,"Wankhede Stadium, Mumbai",50.0
8906,Dwayne Bravo,8,9,0,1,10,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,"Wankhede Stadium, Mumbai",88.89
8907,Deepak Chahar,7,7,1,0,8,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,"Wankhede Stadium, Mumbai",100.0
8908,Shardul Thakur,12,5,1,1,21,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,"Wankhede Stadium, Mumbai",240.0
8909,Mohit Sharma,0,2,0,0,-2,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,"Wankhede Stadium, Mumbai",0.0
8910,Prithvi Shaw,11,11,2,0,13,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"Arun Jaitley Stadium, Delhi",100.0
8911,Shikhar Dhawan,12,14,1,0,13,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"Arun Jaitley Stadium, Delhi",85.71
8912,Shreyas Iyer,43,41,3,1,48,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"Arun Jaitley Stadium, Delhi",104.88
8913,Rishabh Pant,5,7,0,0,5,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"Arun Jaitley Stadium, Delhi",71.43
8914,Rahul Tewatia,5,7,1,0,6,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"Arun Jaitley Stadium, Delhi",71.43
8915,Colin Ingram,5,8,0,0,5,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"Arun Jaitley Stadium, Delhi",62.5
8916,Chris Morris,17,15,1,1,20,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"Arun Jaitley Stadium, Delhi",113.33
8917,Axar Patel,23,13,1,2,34,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"Arun Jaitley Stadium, Delhi",176.92
8918,Kagiso Rabada,3,4,0,0,3,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"Arun Jaitley Stadium, Delhi",75.0
8919,Ishant Sharma,0,0,0,0,-2,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"Arun Jaitley Stadium, Delhi",
8920,David Warner,10,18,0,0,10,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,field,"Arun Jaitley Stadium, Delhi",55.56
